,Nombre,Distancia,Posicion
260,Hotel Alma Pamplona,443.02633781589566,"[42.8197696, -1.6238308]"
261,Martin Berasategui,502.11073980137286,"[43.2667833, -2.0155371]"
262,Casa Taberna,656.0894389747614,"[41.131028799999996, -3.8114683]"
263,El Bohío,673.8452029616535,"[40.1263915, -3.8462894]"
264,Westville Dumbo,8415.696855951783,"[40.7019271, -73.9894984]"
265,Jia,8415.748256829074,"[40.715433999999995, -73.99008309999999]"
266,Cafe Katja,8415.802703906644,"[40.717723899999996, -73.99059559999999]"
267,Westville Wall Street,8417.566236044288,"[40.7048442, -74.0064313]"
268,The Capital Grille,8417.982638394526,"[40.7081174, -74.0102264]"
269,Devour Barcelona Food Tours - Tapas & Wine Tours,19719.62537982981,"[28.647889799999998, 180]"
